MatchTime,Weekday,Month,Day,Year,Time,Composite,Home,Away,Stadium
"Saturday, June 27, 2015 TBD",Saturday,June,27,2015,00:00,2015-06-27 00:00,Toronto FC,D.C. United,BMO Field
"Saturday, June 27, 2015 7:00PM EDT",Saturday,June,27,2015,19:00,2015-06-27 19:00,Philadelphia,Montreal,PPL Park
"Saturday, June 27, 2015 7:30PM EDT",Saturday,June,27,2015,19:30,2015-06-27 19:30,New England,Vancouver,Gillette Stadium
"Saturday, June 27, 2015 8:30PM EDT",Saturday,June,27,2015,20:30,2015-06-27 20:30,Sporting KC,Colorado,Sporting Park
"Saturday, June 27, 2015 10:00PM EDT",Saturday,June,27,2015,20:00,2015-06-27 20:00,Real Salt Lake,Columbus,Rio Tinto Stadium
"Saturday, June 27, 2015 10:30PM EDT",Saturday,June,27,2015,20:30,2015-06-27 20:30,San Jose,LA Galaxy,Stanford Stadium
"Sunday, June 28, 2015 5:00PM EDT",Sunday,June,28,2015,17:00,2015-06-28 17:00,New York City,NY Red Bulls,Yankee Stadium
"Sunday, June 28, 2015 7:00PM EDT",Sunday,June,28,2015,19:00,2015-06-28 19:00,Portland,Seattle,Providence Park
"Friday, July 3, 2015 9:00PM EDT",Friday,July,3,2015,21:00,2015-07-03 21:00,Houston,Chicago,BBVA Compass Stadium
"Friday, July 3, 2015 11:00PM EDT",Friday,July,3,2015,23:00,2015-07-03 23:00,Seattle,D.C. United,CenturyLink Field
"Saturday, July 4, 2015 TBD",Saturday,July,4,2015,00:00,2015-07-04 00:00,Montreal,New York City,Stade Saputo
"Saturday, July 4, 2015 7:30PM EDT",Saturday,July,4,2015,19:30,2015-07-04 19:30,Columbus,NY Red Bulls,Crew Stadium
"Saturday, July 4, 2015 9:00PM EDT",Saturday,July,4,2015,21:00,2015-07-04 21:00,FC Dallas,New England,Toyota Stadium
"Saturday, July 4, 2015 9:00PM EDT",Saturday,July,4,2015,21:00,2015-07-04 21:00,Colorado,Vancouver,Dick's Sporting Goods Park
"Saturday, July 4, 2015 10:00PM EDT",Saturday,July,4,2015,20:00,2015-07-04 20:00,Real Salt Lake,Orlando,Rio Tinto Stadium
"Saturday, July 4, 2015 10:30PM EDT",Saturday,July,4,2015,20:30,2015-07-04 20:30,LA Galaxy,Toronto FC,Stubhub Center
"Sunday, July 5, 2015 5:00PM EDT",Sunday,July,5,2015,17:00,2015-07-05 17:00,Portland,San Jose,Providence Park
"Friday, July 10, 2015 11:00PM EDT",Friday,July,10,2015,23:00,2015-07-10 23:00,San Jose,Houston,Avaya Stadium
"Saturday, July 11, 2015 TBD",Saturday,July,11,2015,00:00,2015-07-11 00:00,Montreal,Columbus,Stade Saputo
"Saturday, July 11, 2015 7:00PM EDT",Saturday,July,11,2015,19:00,2015-07-11 19:00,Philadelphia,Portland,PPL Park
"Saturday, July 11, 2015 7:00PM EDT",Saturday,July,11,2015,19:00,2015-07-11 19:00,NY Red Bulls,New England,Red Bull Arena
"Saturday, July 11, 2015 7:30PM EDT",Saturday,July,11,2015,19:30,2015-07-11 19:30,Orlando,FC Dallas,Citrus Bowl
"Saturday, July 11, 2015 8:30PM EDT",Saturday,July,11,2015,20:30,2015-07-11 20:30,Chicago,Seattle,Toyota Park
"Sunday, July 12, 2015 TBD",Sunday,July,12,2015,00:00,2015-07-12 00:00,Vancouver,Sporting KC,BC Place
"Sunday, July 12, 2015 5:00PM EDT",Sunday,July,12,2015,17:00,2015-07-12 17:00,New York City,Toronto FC,Yankee Stadium
"Sunday, July 12, 2015 7:00PM EDT",Sunday,July,12,2015,19:00,2015-07-12 19:00,Colorado,Real Salt Lake,Dick's Sporting Goods Park
"Wednesday, July 15, 2015 8:30PM EDT",Wednesday,July,15,2015,20:30,2015-07-15 20:30,Chicago,Columbus,Toyota Park
"Friday, July 17, 2015 11:00PM EDT",Friday,July,17,2015,23:00,2015-07-17 23:00,LA Galaxy,San Jose,Stubhub Center
"Saturday, July 18, 2015 TBD",Saturday,July,18,2015,00:00,2015-07-18 00:00,Seattle,Colorado,CenturyLink Field
"Saturday, July 18, 2015 TBD",Saturday,July,18,2015,00:00,2015-07-18 00:00,Toronto FC,Philadelphia,BMO Field
"Saturday, July 18, 2015 7:30PM EDT",Saturday,July,18,2015,19:30,2015-07-18 19:30,New England,New York City,Gillette Stadium
"Saturday, July 18, 2015 8:30PM EDT",Saturday,July,18,2015,20:30,2015-07-18 20:30,Sporting KC,Montreal,Sporting Park
